locus	segment	local_start	local_end	category	genome_hits	status
IS1G	1203713	2	292	1	[('HG941718.1', 3287937, 3288227, '+')]	unique
ISEc52	1206755	1	400	1	[('HG941718.1', 4943445, 4943844, '+')]	unique
ISEc52	1228204	2	239	1	[('HG941718.1', 3312913, 3313150, '+'), ('HG941718.1', 4943316, 4943553, '-')]	ambiguous
ISEc22	1240608	0	192	1	[('HG941718.1', 4956829, 4957021, '+'), ('HG941718.1', 3336944, 3337136, '-')]	ambiguous
IS1G	1242046	28	220	1	[('HG941718.1', 3287826, 3288018, '-'), ('HG941718.1', 4134250, 4134442, '-')]	ambiguous
ISEc12	1243278	58	2952	1	[('HG941718.1', 3109006, 3111900, '-')]	unique
ISKox3	1243600	15262	16593	1	[('HG941718.1', 3296429, 3297760, '-')]	unique
IS100kyp	1244402	9127	11101	1	[('HG941718.1', 2254842, 2256816, '-')]	unique
ISEc20	1244402	17063	18212	1	[('HG941718.1', 2247731, 2248880, '-')]	unique
ISEc52	1244434	0	249	1	[('HG941718.1', 5007944, 5008193, '+'), ('HG941718.1', 3558766, 3559015, '-')]	ambiguous
IS609	1244458	724	2232	1	[('HG941718.1', 2104621, 2106129, '+')]	unique
ISEc53	1244638	63534	65995	1	[('HG941718.1', 5016746, 5019207, '-')]	unique
IS21	1244656	18545	22405	1	[('HG941718.1', 4177837, 4181697, '+')]	unique
ISCro1	1244656	7266	11294	1	[('HG941718.1', 4166558, 4170586, '+')]	unique
ISEc49	1244656	2514	4740	1	[('HG941718.1', 4161806, 4164032, '+')]	unique
ISEc49	1244656	5087	6401	2	[('HG941718.1', 4164379, 4165693, '+')]	unique
IS1397	1244664	4031	5221	1	[('HG941718.1', 2137006, 2138196, '-')]	unique
IS2	1244674	8829	11609	1	[('HG941718.1', 3325080, 3327860, '-')]	unique
IS682	1244674	2317	4228	1	[('HG941718.1', 3332461, 3334372, '-')]	unique
ISEc23	1244700	0	1241	1	[('HG941718.1', 233812, 235053, '-'), ('HG941718.1', 2265918, 2267159, '-'), ('HG941718.1', 4925173, 4926414, '-'), ('HG941719.1', 132464, 133705, '+')]	ambiguous
ISEc10	1244994	4203	5760	1	[('HG941718.1', 3358874, 3360431, '+')]	unique
IS4	1245002	124456	128575	1	[('HG941718.1', 1418661, 1422780, '+')]	unique
ISCfr4	1245002	69592	71316	1	[('HG941718.1', 1363797, 1365521, '+')]	unique
ISEc24	1245002	79363	82546	1	[('HG941718.1', 1373568, 1376751, '+')]	unique
MITEEc1	1245022	12716	15752	1	[('HG941718.1', 3237499, 3240535, '-')]	unique
IS1G	1245046	512122	512206	1	[('HG941718.1', 3288145, 3288229, '+'), ('HG941718.1', 2385372, 2385456, '-'), ('HG941718.1', 3290804, 3290888, '-'), ('HG941719.1', 66927, 67011, '+'), ('HG941719.1', 120393, 120477, '+')]	ambiguous
ISEc9	1245048	6982	9829	1	[('HG941718.1', 4934492, 4937339, '+')]	unique
MITEEc1	1245056	115581	119895	2	[('HG941718.1', 815081, 819395, '-')]	unique
ISEc38	1245062	67873	68329	1	[('HG941718.1', 2245997, 2246453, '+')]	unique
ISEc1	1245096	42649	45655	1	[('HG941718.1', 1644187, 1647193, '+')]	unique
IS1F	1245106	17791	18642	1	[('HG941718.1', 4140738, 4141589, '-')]	unique
IS629	1245106	890	2709	1	[('HG941718.1', 4156671, 4158490, '-')]	unique
ISEc12	46145	27	111	1	[('HG941718.1', 1479985, 1480069, '+'), ('HG941718.1', 2271135, 2271219, '+'), ('HG941718.1', 3111873, 3111957, '+'), ('HG941718.1', 4971854, 4971938, '+')]	ambiguous
IS682	1125059	2	221	1	[('HG941718.1', 3336833, 3337052, '-')]	unique
ISEc23	1176191	31	181	3	[('HG941718.1', 236079, 236229, '-'), ('HG941718.1', 4927440, 4927590, '-'), ('HG941719.1', 131288, 131438, '+')]	ambiguous
IS1G	1208153	0	267	1	[('HG941718.1', 3288605, 3288872, '+'), ('HG941718.1', 2384729, 2384996, '-'), ('HG941718.1', 3290161, 3290428, '-'), ('HG941719.1', 67387, 67654, '+'), ('HG941719.1', 120853, 121120, '+')]	ambiguous
IS1A	1227142	12	144	1	[('HG941718.1', 2142947, 2143079, '+'), ('HG941718.1', 2285366, 2285498, '+')]	ambiguous
IS682	1234604	2	221	1	[('HG941718.1', 4956913, 4957132, '+')]	unique
IS682	1235120	0	363	1	[('HG941718.1', 3336578, 3336941, '+'), ('HG941718.1', 4957024, 4957387, '-')]	ambiguous
IS1A	1236016	1227	1353	1	[('HG941718.1', 3290003, 3290129, '+')]	unique
IS1R	1236016	211	1078	1	[('HG941718.1', 3288987, 3289854, '+')]	unique
ISEc12	1240840	118	1478	1	[('HG941718.1', 2273699, 2275059, '+')]	unique
IS600	1242486	0	270	1	[('HG941718.1', 3315775, 3316045, '-')]	unique
ISSd1	1242486	785	890	1	[('HG941718.1', 4942429, 4942534, '+'), ('HG941718.1', 3315155, 3315260, '-')]	ambiguous
IS30	1242602	2	80	1	[('HG941718.1', 4943209, 4943287, '+'), ('HG941718.1', 3314402, 3314480, '-')]	ambiguous
ISEc22	1243212	1	112	1	[('HG941718.1', 3338149, 3338260, '-')]	unique
ISEc23	1243328	66	2350	3	[('HG941718.1', 236215, 238499, '+')]	unique
ISEc23	1243458	2549	3034	3	[('HG941718.1', 2268185, 2268670, '-')]	unique
ISKox3	1243600	18181	18927	1	[('HG941718.1', 3294095, 3294841, '-')]	unique
IS30	1243758	1	889	1	[('HG941718.1', 3314372, 3315260, '+'), ('HG941718.1', 4942429, 4943317, '-')]	ambiguous
IS1F	1244320	1141	2998	2	[('HG941718.1', 4953942, 4955799, '-')]	unique
ISEc8	1244320	1031	2593	2	[('HG941718.1', 4954347, 4955909, '-')]	unique
IS100kyp	1244402	13709	14281	1	[('HG941718.1', 2251662, 2252234, '-')]	unique
ISEc20	1244402	14310	15512	1	[('HG941718.1', 2250431, 2251633, '-')]	unique
IS609	1244570	53350	55500	1	[('HG941718.1', 3819349, 3821499, '+')]	unique
IS609	1244570	52251	54235	2	[('HG941718.1', 3818250, 3820234, '+')]	unique
ISEc53	1244638	68105	69212	1	[('HG941718.1', 5013529, 5014636, '-')]	unique
IS21	1244656	14919	15805	1	[('HG941718.1', 4174211, 4175097, '+')]	unique
ISCro1	1244656	14651	15278	1	[('HG941718.1', 4173943, 4174570, '+')]	unique
ISEc49	1244656	0	903	1	[('HG941718.1', 4159292, 4160195, '+')]	unique
ISEc49	1244656	357	2199	2	[('HG941718.1', 4159649, 4161491, '+')]	unique
IS2	1244674	13199	16037	1	[('HG941718.1', 3320652, 3323490, '-')]	unique
ISEch14	1244674	17693	18719	1	[('HG941718.1', 3317970, 3318996, '-')]	unique
IS1F	1244706	920	5950	3	[('HG941718.1', 4134466, 4139496, '-')]	unique
IS1203	1244936	1229	2009	1	[('HG941718.1', 3292171, 3292951, '-')]	unique
ISEc10	1244994	8825	12729	1	[('HG941718.1', 3363496, 3367400, '+')]	unique
IS4	1245002	121364	122999	1	[('HG941718.1', 1415569, 1417204, '+')]	unique
ISCfr4	1245002	72312	76362	1	[('HG941718.1', 1366517, 1370567, '+')]	unique
ISEc24	1245002	77243	78045	1	[('HG941718.1', 1371448, 1372250, '+')]	unique
MITEEc1	1245022	15965	18870	1	[('HG941718.1', 3234381, 3237286, '-')]	unique
IS1397	1245026	272	2821	1	[('HG941718.1', 1994857, 1997406, '-')]	unique
IS1A	1245038	98286	99339	1	[('HG941718.1', 2383675, 2384728, '+')]	unique
IS1G	1245038	99340	99433	1	[('HG941718.1', 2384729, 2384822, '+'), ('HG941718.1', 3290161, 3290254, '+'), ('HG941718.1', 3288779, 3288872, '-'), ('HG941719.1', 67561, 67654, '-'), ('HG941719.1', 121027, 121120, '-')]	ambiguous
IS30	1245048	14919	15024	1	[('HG941718.1', 4942429, 4942534, '+'), ('HG941718.1', 3315155, 3315260, '-')]	ambiguous
ISEc23	1245048	350	3667	1	[('HG941718.1', 4927860, 4931177, '+')]	unique
ISEc9	1245048	12809	15024	1	[('HG941718.1', 4940319, 4942534, '+')]	unique
ISSd1	1245048	12809	14771	1	[('HG941718.1', 4940319, 4942281, '+')]	unique
MITEEc1	1245056	120077	123776	2	[('HG941718.1', 811200, 814899, '-')]	unique
ISEc38	1245062	64524	65912	1	[('HG941718.1', 2242648, 2244036, '+')]	unique
ISEc1	1245096	47341	49920	1	[('HG941718.1', 1648879, 1651458, '+')]	unique
IS629	1245106	3321	6087	1	[('HG941718.1', 4153293, 4156059, '-')]	unique
IS1G	1245136	1	444	1	[('HG941718.1', 2384888, 2385331, '-'), ('HG941719.1', 67052, 67495, '+')]	ambiguous
IS1G	1245138	99	444	1	[('HG941718.1', 3288368, 3288713, '+'), ('HG941718.1', 3290320, 3290665, '-')]	ambiguous
IS609	832167	1	112	1	[('HG941718.1', 2103896, 2104007, '-'), ('HG941718.1', 3821394, 3821505, '-')]	ambiguous
