locus_id	target	gene_id	context	dist_bp	topo_hops	orientation	effect	copy_number
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_3334642_3335068	INSIDE	0	0	same strand	NONE	1.0
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_3335118_3335415	INSIDE	0	0	same strand	NONE	1.0
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_3335445_3336546	OVERLAPPING_END	0	0	same strand	DISRUPTED	1.0
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_2238980_2239202	OVERLAPPING_START	0	0	same strand	DISRUPTED	1.0
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_2239328_2239445	INSIDE	0	0	same strand	NONE	1.0
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_3334275_3334437	UPSTREAM	116	0	opposite strand	NONE	1.0
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_3334009_3334210	UPSTREAM	343	0	same strand	NONE	1.0
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_3333064_3333982	UPSTREAM	571	0	opposite strand	NONE	1.0
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_2239640_2240855	DOWNSTREAM	108	0	same strand	NONE	1.0
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_2240868_2241627	DOWNSTREAM	1336	0	same strand	NONE	1.0
locus_split_e3d0ad1f	IS682_IS66_unknown_stitched	HG941718.1_2241680_2242646	DOWNSTREAM	2148	0	same strand	NONE	1.0
locus_split_09b87810	IS629_IS3_IS51_stitched	HG941718.1_4158786_4159068	OVERLAPPING_END	0	0	same strand	DISRUPTED	1.0
locus_split_09b87810	IS629_IS3_IS51_stitched	HG941718.1_4159080_4159194	INSIDE	0	0	opposite strand	NONE	1.0
locus_split_09b87810	IS629_IS3_IS51_stitched	HG941718.1_4159265_4159592	INSIDE	0	0	same strand	NONE	1.0
locus_split_09b87810	IS629_IS3_IS51_stitched	HG941718.1_4954027_4954138	INSIDE	0	0	same strand	NONE	1.0
locus_split_09b87810	IS629_IS3_IS51_stitched	HG941718.1_4159649_4160195	UPSTREAM	3	0	opposite strand	NONE	1.0
locus_split_09b87810	IS629_IS3_IS51_stitched	HG941718.1_4160352_4160985	UPSTREAM	706	0	same strand	NONE	1.0
locus_split_09b87810	IS629_IS3_IS51_stitched	HG941718.1_4161107_4161491	UPSTREAM	1461	0	same strand	NONE	1.0
locus_split_09b87810	IS629_IS3_IS51_stitched	HG941718.1_4953658_4953868	DOWNSTREAM	117	0	opposite strand	NONE	1.0
locus_split_09b87810	IS629_IS3_IS51_stitched	HG941718.1_4953490_4953658	DOWNSTREAM	327	0	opposite strand	NONE	1.0
locus_split_09b87810	IS629_IS3_IS51_stitched	HG941718.1_4953170_4953446	DOWNSTREAM	539	0	opposite strand	NONE	1.0
locus_f475cb5f	ISEc23_IS66_unknown	HG941718.1_233363_233759	OVERLAPPING_START	0	0	opposite strand	DISRUPTED	1.0
locus_f475cb5f	ISEc23_IS66_unknown	HG941718.1_233812_234238	INSIDE	0	0	same strand	NONE	1.0
locus_f475cb5f	ISEc23_IS66_unknown	HG941718.1_234288_234585	INSIDE	0	0	same strand	NONE	1.0
locus_f475cb5f	ISEc23_IS66_unknown	HG941718.1_234615_236229	INSIDE	0	0	same strand	NONE	1.0
locus_f475cb5f	ISEc23_IS66_unknown	HG941718.1_232497_233208	UPSTREAM	519	0	same strand	NONE	1.0
locus_f475cb5f	ISEc23_IS66_unknown	HG941718.1_232265_232484	UPSTREAM	1243	0	same strand	NONE	1.0
locus_f475cb5f	ISEc23_IS66_unknown	HG941718.1_232160_232244	UPSTREAM	1483	0	opposite strand	NONE	1.0
locus_f475cb5f	ISEc23_IS66_unknown	HG941718.1_236362_236491	DOWNSTREAM	103	0	same strand	NONE	1.0
locus_f475cb5f	ISEc23_IS66_unknown	HG941718.1_236780_238499	DOWNSTREAM	521	0	opposite strand	NONE	1.0
locus_f475cb5f	ISEc23_IS66_unknown	HG941718.1_238609_239119	DOWNSTREAM	2350	0	opposite strand	NONE	1.0
locus_06f3c544	MITEEc1_IS630_unknown	HG941718.1_815081_817343	UPSTREAM	56	0	opposite strand	NONE	1.0
locus_06f3c544	MITEEc1_IS630_unknown	HG941718.1_817483_818767	UPSTREAM	2458	0	same strand	NONE	1.0
locus_06f3c544	MITEEc1_IS630_unknown	HG941718.1_818918_819395	UPSTREAM	3893	0	same strand	NONE	1.0
locus_06f3c544	MITEEc1_IS630_unknown	HG941718.1_813465_814899	DOWNSTREAM	3	0	opposite strand	NONE	1.0
locus_06f3c544	MITEEc1_IS630_unknown	HG941718.1_812337_813390	DOWNSTREAM	1512	0	opposite strand	NONE	1.0
locus_06f3c544	MITEEc1_IS630_unknown	HG941718.1_811200_812154	DOWNSTREAM	2748	0	same strand	NONE	1.0
locus_972dae7b	ISCfr4_IS30_unknown	HG941718.1_1365822_1366380	OVERLAPPING_END	0	0	same strand	DISRUPTED	1.0
locus_972dae7b	ISCfr4_IS30_unknown	HG941718.1_1365203_1365521	UPSTREAM	109	0	same strand	NONE	1.0
locus_972dae7b	ISCfr4_IS30_unknown	HG941718.1_1364122_1365199	UPSTREAM	431	0	same strand	NONE	1.0
locus_972dae7b	ISCfr4_IS30_unknown	HG941718.1_1363797_1364091	UPSTREAM	1539	0	same strand	NONE	1.0
locus_972dae7b	ISCfr4_IS30_unknown	HG941718.1_1366517_1369175	DOWNSTREAM	193	0	same strand	NONE	1.0
locus_972dae7b	ISCfr4_IS30_unknown	HG941718.1_1369180_1369384	DOWNSTREAM	2856	0	same strand	NONE	1.0
locus_972dae7b	ISCfr4_IS30_unknown	HG941718.1_1369397_1370567	DOWNSTREAM	3073	0	same strand	NONE	1.0
locus_8f52834c	ISEc24_IS3_IS51	HG941718.1_1372322_1373039	INSIDE	0	0	same strand	NONE	1.0
locus_8f52834c	ISEc24_IS3_IS51	HG941718.1_1373173_1373458	INSIDE	0	0	same strand	NONE	1.0
locus_8f52834c	ISEc24_IS3_IS51	HG941718.1_1373568_1374744	UPSTREAM	51	0	same strand	NONE	1.0
locus_8f52834c	ISEc24_IS3_IS51	HG941718.1_1374958_1376050	UPSTREAM	1441	0	same strand	NONE	1.0
