context	transcript	chromStart	chromEnd	name	repeats	buffer_0	score	strand	buffer_50	buffer_100	buffer_200	buffer_400
INSIDE	HG941718.1	233812	236229	ISEc23	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	1372322	1373458	ISEc24	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	1480173	1482455	ISEc12	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	1647672	1648809	ISEc1	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	1997599	1998948	IS1397	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	2103938	2104037	IS609	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	2135397	2136746	IS1397	2	TP			TP	TP	TP	TP
INSIDE	HG941718.1	2142532	2142991	IS200C	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	2239328	2239445	IS682	1	FP			FP	FP	FP	FP
INSIDE	HG941718.1	2244184	2245575	ISEc38	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	2249111	2250308	ISEc20	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	2252431	2254146	IS100kyp	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	2265918	2268335	ISEc23	2	TP			TP	TP	TP	TP
INSIDE	HG941718.1	2271323	2273605	ISEc12	2	TP			TP	TP	TP	TP
INSIDE	HG941718.1	2284951	2285410	IS200C	2	TP			TP	TP	TP	TP
INSIDE	HG941718.1	2384729	2385394	IS1R	1							
INSIDE	HG941718.1	3112061	3114343	ISEc12	3	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3288145	3288872	IS1A	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3290161	3290826	IS1A	2	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3293265	3294392	IS1203	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3295131	3295878	ISKox3	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3313322	3315260	IS30	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3316142	3317675	ISEch14	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3323700	3324929	IS2	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3334642	3335415	IS682	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3336689	3338081	ISEc22	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3360619	3362871	ISEc10	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3558437	3559585	ISEc52	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	3820356	3821565	IS609	2	TP			TP	TP	TP	TP
INSIDE	HG941718.1	4140093	4140791	IS1F	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	4159080	4159592	IS629	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	4162406	4163438	ISEc49	2	FP			FP	FP	FP	FP
INSIDE	HG941718.1	4171181	4173797	ISCro1	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	4175167	4177137	IS21	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	4925173	4927590	ISEc23	3	TP			TP	TP	TP	TP
INSIDE	HG941718.1	4937618	4940067	ISEcp1	1							
INSIDE	HG941718.1	4942429	4944198	ISSd1	1							
INSIDE	HG941718.1	4953170	4953868	IS1F	2	TP			TP	TP	TP	TP
INSIDE	HG941718.1	4954027	4954138	IS629	1	FP			FP	FP		
INSIDE	HG941718.1	4956037	4958197	ISEc8	1	TP			TP	TP	TP	TP
INSIDE	HG941718.1	4972042	4974324	ISEc12	4	TP			TP	TP	TP	TP
INSIDE	HG941718.1	5007374	5008522	ISEc52	2	TP			TP	TP	TP	TP
INSIDE	HG941718.1	5014841	5016599	ISEc53	1	TP			TP	TP	TP	TP
INSIDE	HG941719.1	36339	38562	IS26	1	TP			TP	TP	TP	TP
INSIDE	HG941719.1	43486	44203	IS15	1							
INSIDE	HG941719.1	66956	67654	IS1R	2	TP			TP	TP	TP	TP
INSIDE	HG941719.1	75367	76084	IS26	2	TP			TP	TP	TP	TP
INSIDE	HG941719.1	86194	86911	IS26	3	TP			TP	TP	TP	TP
INSIDE	HG941719.1	93963	94758	IS6100	1	TP			TP	TP	TP	TP
INSIDE	HG941719.1	98096	98813	IS26	4	TP			TP	TP	TP	TP
INSIDE	HG941719.1	102500	103217	IS26	5	TP			TP	TP	TP	TP
INSIDE	HG941719.1	105507	106224	IS26	6	TP			TP	TP	TP	TP
INSIDE	HG941719.1	113738	114455	IS26	7	FP			FP	FP	FP	FP
INSIDE	HG941719.1	120422	121120	IS1A	3	TP			TP	TP	TP	TP
INSIDE	HG941719.1	131288	133705	ISEc23	4	TP			TP	TP	TP	TP
	HG941718.1	814902	815025	MITEEc1	1	FN	0.0	-	FN	FN	FN	FN
	HG941718.1	1365600	1366443	ISCfr4		FN	0.0	+	FN	FN	FN	FN
	HG941718.1	1417476	1418621	IS4		FN	0.0	-	FN	FN	FN	FN
	HG941718.1	2384714	2385482	IS1A	1	FN	0.0	-	FN	FN	FN	FN
	HG941718.1	3237314	3237436	MITEEc1	2	FN	0.0	-	FN	FN	FN	FN
	HG941718.1	3314362	3315303	ISSd1		FN	0.0	+	FN	FN	FN	FN
	HG941718.1	4156066	4156581	ISSen10		FN	0.0	-	FN	FN	FN	FN
	HG941718.1	4937432	4938940	ISEc9		FN	0.0	+	FN	FN	FN	FN
	HG941718.1	4938940	4940135	IS5		FN	0.0	-	FN	FN	FN	FN
	HG941718.1	4942385	4943650	IS600		FN	0.0	-	FN	FN	FN	FN
	HG941718.1	4943650	4944441	ISEc52	3	FN	0.0	+	FN	FN	FN	FN
	HG941718.1	4976678	4977300	ISSen1		FN	0.0	+	FN	FN	FN	FN
	HG941719.1	37108	38748	IS26	2	FN	0.0	-	FN	FN	FN	FN
	HG941719.1	43434	44254	IS26	3	FN	0.0	-	FN	FN	FN	FN
