locus_id	target	gene_id	context	dist_bp	topo_hops	orientation	effect	fractional_depth
locus_split_a7b5ac50	ISEc23_IS66_unknown_stitched	1116087_0_222	INSIDE	0	0	same strand	NONE	0.915
locus_split_a7b5ac50	ISEc23_IS66_unknown_stitched	1244816_2_1133	INSIDE	0	0	same strand	NONE	0.915
locus_split_a7b5ac50	ISEc23_IS66_unknown_stitched	1176191_31_181	INSIDE	0	0	opposite strand	NONE	0.915
locus_split_a7b5ac50	ISEc23_IS66_unknown_stitched	1245048_2_80	INSIDE	0	0	same strand	NONE	0.915
locus_split_a7b5ac50	ISEc23_IS66_unknown_stitched	1244700_0_438	UPSTREAM	0	1	opposite strand	NONE	0.915
locus_split_a7b5ac50	ISEc23_IS66_unknown_stitched	1244700_468_765	UPSTREAM	468	1	opposite strand	NONE	0.915
locus_split_a7b5ac50	ISEc23_IS66_unknown_stitched	1244700_815_1241	UPSTREAM	815	1	opposite strand	NONE	0.915
locus_split_a7b5ac50	ISEc23_IS66_unknown_stitched	1245048_350_1364	DOWNSTREAM	240	0	opposite strand	NONE	0.915
locus_split_a7b5ac50	ISEc23_IS66_unknown_stitched	1245048_1375_2692	DOWNSTREAM	1265	0	opposite strand	NONE	0.915
locus_split_a7b5ac50	ISEc23_IS66_unknown_stitched	1245048_2719_3667	DOWNSTREAM	2609	0	opposite strand	NONE	0.915
locus_split_988aaa9f	ISEc23_IS66_unknown_stitched	1159225_0_222	INSIDE	0	0	same strand	NONE	0.452
locus_split_988aaa9f	ISEc23_IS66_unknown_stitched	1244816_2_1133	INSIDE	0	0	same strand	NONE	0.452
locus_split_988aaa9f	ISEc23_IS66_unknown_stitched	1176191_31_181	INSIDE	0	0	opposite strand	NONE	0.452
locus_split_988aaa9f	ISEc23_IS66_unknown_stitched	1243328_66_579	OVERLAPPING_END	0	0	opposite strand	DISRUPTED	0.452
locus_split_988aaa9f	ISEc23_IS66_unknown_stitched	1243328_631_2350	DOWNSTREAM	521	0	opposite strand	NONE	0.452
locus_split_988aaa9f	ISEc23_IS66_unknown_stitched	1243328_2460_2970	DOWNSTREAM	2350	0	opposite strand	NONE	0.452
locus_split_988aaa9f	ISEc23_IS66_unknown_stitched	1243328_3164_3569	DOWNSTREAM	3054	0	opposite strand	NONE	0.452
locus_split_5728f02b	ISEc52_IS3_IS3_stitched	1243586_2_383	INSIDE	0	0	same strand	NONE	0.67
locus_split_5728f02b	ISEc52_IS3_IS3_stitched	1245082_1_370	INSIDE	0	0	same strand	NONE	0.67
locus_split_5728f02b	ISEc52_IS3_IS3_stitched	238677_0_114	INSIDE	0	0	same strand	NONE	0.67
locus_split_5728f02b	ISEc52_IS3_IS3_stitched	1244434_0_249	UPSTREAM	0	1	same strand	NONE	0.67
locus_split_5728f02b	ISEc52_IS3_IS3_stitched	1244434_275_578	UPSTREAM	275	1	same strand	NONE	0.67
locus_split_5728f02b	ISEc52_IS3_IS3_stitched	1206755_157_400	UPSTREAM	3	1	same strand	NONE	0.67
locus_split_af79dda0	IS600_IS3_IS3_stitched	976171_2_143	INSIDE	0	0	same strand	NONE	1.0
locus_split_af79dda0	IS600_IS3_IS3_stitched	1243758_1_889	INSIDE	0	0	same strand	NONE	1.0
