transcript	chromStart	chromEnd	name	repeats	synonyms	Buffer_10	Buffer_15	Buffer_25	Buffer_50	category	truth_name	truth_idx	score	strand	buffer
HG941718.1	3334642	3335068	IS682	1		TP	TP	TP	TP	TP					100
HG941718.1	3335118	3335415	IS682	1		TP	TP	TP	TP	TP					100
HG941718.1	3335445	3336546	IS682	1		TP	TP	TP	TP	TP					100
HG941718.1	3323700	3324540	IS2	1	['IS4521L', 'IS4521R']	TP	TP	TP	TP	TP					100
HG941718.1	3324563	3324929	IS2	1	['IS4521L', 'IS4521R']	TP	TP	TP	TP	TP					100
HG941718.1	3325080	3326067	IS2	1	['IS4521L', 'IS4521R']	FP	FP	FP	FP	TP					100
HG941718.1	4158786	4159068	IS629	1	['IS3411', 'IS3411L', 'IS3411R']	TP	TP	TP	TP	TP					100
HG941718.1	4159080	4159194	IS629	1	['IS3411', 'IS3411L', 'IS3411R']	TP	TP	TP	TP	TP					100
HG941718.1	4159265	4159592	IS629	1	['IS3411', 'IS3411L', 'IS3411R']	TP	TP	TP	TP	TP					100
HG941718.1	4159649	4160195	IS629	1	['IS3411', 'IS3411L', 'IS3411R']	TP	TP	TP	TP	TP					100
HG941719.1	73111	75355	IS26	2	['IS15DIV']	TP	TP	TP	TP	TP					100
HG941719.1	75367	76084	IS26	2	['IS15DIV']	TP	TP	TP	TP	TP					100
HG941719.1	76117	76672	IS26	2	['IS15DIV']	TP	TP	TP	TP	TP					100
HG941719.1	86194	86911	IS26	3	['IS15DIV']	TP	TP	TP	TP	TP					100
HG941719.1	86916	87237	IS26	3	['IS15DIV']	TP	TP	TP	TP	TP					100
HG941719.1	98096	98813	IS26	5	['IS15DIV']	TP	TP	TP	TP	TP					100
HG941719.1	98936	99812	IS26	5	['IS15DIV']	FP	FP	FP	FP	TP					100
HG941719.1	97069	97975	IS26	5	['IS15DIV']	FP	FP	FP	FP	TP					100
HG941719.1	100450	102466	IS15	1	['IS1522', 'IS15L', 'IS15R', 'IS26']	TP	TP	TP	TP	TP					100
HG941719.1	102500	103217	IS15	1	['IS1522', 'IS15L', 'IS15R', 'IS26']	TP	TP	TP	TP	TP					100
HG941719.1	103222	103417	IS15	1	['IS1522', 'IS15L', 'IS15R', 'IS26']	TP	TP	TP	TP	TP					100
HG941719.1	104809	105502	IS15	1	['IS1522', 'IS15L', 'IS15R', 'IS26']	TP	TP	TP	TP	TP					100
HG941719.1	98936	99812	IS15	1	['IS1522', 'IS15L', 'IS15R', 'IS26']	FP	FP	FP	FP	TP					100
HG941719.1	104809	105502	IS26	6	['IS15DIV']	TP	TP	TP	TP	TP					100
HG941719.1	105507	106224	IS26	6	['IS15DIV']	TP	TP	TP	TP	TP					100
HG941719.1	106262	107792	IS26	6	['IS15DIV']	TP	TP	TP	TP	TP					100
HG941719.1	103222	103417	IS26	6	['IS15DIV']	TP	TP	TP	TP	TP					100
HG941718.1	3312880	3313249	IS30	1	['IS30H']	TP	TP	TP	TP	TP					100
HG941718.1	3313322	3314357	IS30	1	['IS30H']	TP	TP	TP	TP	TP					100
HG941718.1	3314441	3315260	IS30	1	['IS30H']	FP	FP	FP	FP	TP					100
HG941719.1	120422	120698	IS1A	3	['IS1SD']	TP	TP	TP	TP	TP					100
HG941719.1	120742	121120	IS1A	3	['IS1SD']	TP	TP	TP	TP	TP					100
HG941719.1	121153	121318	IS1A	3	['IS1SD']	FP	FP	TP	TP	TP					100
HG941718.1	4953658	4953868	IS629	1	['IS3411', 'IS3411L', 'IS3411R']	FP	FP	FP	FP	wrong_name	IS1F	43.0			100
HG941718.1	4953490	4953658	IS629	1	['IS3411', 'IS3411L', 'IS3411R']	FP	FP	FP	FP	wrong_name	IS1F	43.0			100
HG941718.1	4953170	4953446	IS629	1	['IS3411', 'IS3411L', 'IS3411R']	FP	FP	FP	FP	wrong_name	IS1F	43.0			100
HG941718.1	3315271	3315727	ISEc8	1		FP	FP	FP	FP	wrong_name	ISSd1	25.0			100
HG941718.1	3314441	3315260	ISEc8	1		FP	FP	FP	FP	wrong_name	IS30	24.0			100
HG941718.1	2252147	2252282	IS21	1	['IS640']	FP	FP	FP	FP	wrong_name	IS100kyp	13.0			100
HG941718.1	2252290	2252422	IS21	1	['IS640']	FP	FP	FP	FP	wrong_name	IS100kyp	13.0			100
HG941718.1	2254198	2254471	IS21	1	['IS640']	FP	FP	FP	FP	wrong_name	IS100kyp	13.0			100
HG941718.1	233363	233759	ISEc12	1		FP	FP	FP	FP	wrong_name	ISEc23	0.0			100
HG941718.1	233812	234238	ISEc12	1		FP	FP	FP	FP	wrong_name	ISEc23	0.0			100
HG941718.1	234288	234585	ISEc12	1		FP	FP	FP	FP	wrong_name	ISEc23	0.0			100
HG941718.1	234615	236229	ISEc12	1		FP	FP	FP	FP	wrong_name	ISEc23	0.0			100
HG941718.1	813465	814899	ISEc12	2		FP	FP	FP	FP	wrong_name	MITEEc1	1.0			100
HG941718.1	815081	817343	ISEc12	2		FP	FP	FP	FP	wrong_name	MITEEc1	1.0			100
HG941718.1	1365822	1366380	ISEc12	3		FP	FP	FP	FP	wrong_name	ISCfr4	2.0			100
HG941718.1	1365203	1365521	ISEc12	3		FP	FP	FP	FP	wrong_name	ISCfr4	2.0			100
HG941718.1	1366517	1369175	ISEc12	3		FP	FP	FP	FP	wrong_name	ISCfr4	2.0			100
HG941718.1	1372322	1373039	ISEc12	4		FP	FP	FP	FP	wrong_name	ISEc24	3.0			100
HG941718.1	1373173	1373458	ISEc12	4		FP	FP	FP	FP	wrong_name	ISEc24	3.0			100
HG941718.1	1372163	1372250	ISEc12	4		FP	FP	FP	FP	wrong_name	ISEc24	3.0			100
HG941718.1	1373568	1374744	ISEc12	4		FP	FP	FP	FP	wrong_name	ISEc24	3.0			100
HG941718.1	1417331	1418537	ISCro1	1		FP	FP	FP	FP	wrong_name	IS4	4.0			100
HG941718.1	1418661	1421337	ISCro1	1		FP	FP	FP	FP	wrong_name	IS4	4.0			100
HG941718.1	1479579	1480038	ISEc23	1		FP	FP	FP	FP	wrong_name	ISEc12	5.0			100
