context	transcript	name	repeats	chromStart	chromEnd	buffer_0	fp_reason_0	score	strand	synonyms_0	buffer_50	fp_reason_50	synonyms_50	buffer_100	fp_reason_100	synonyms_100	buffer_200	fp_reason_200	synonyms_200	buffer_400	fp_reason_400	synonyms_400
INSIDE	HG941718.1	ISEc23	1	233812	236229	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc24	1	1372322	1373458	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc12	1	1480173	1482455	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc1	1	1647672	1648809	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS1397	1	1997599	1998948	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS609	1	2103938	2104037	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS1397	2	2135397	2136746	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS200C	1	2142532	2142991	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS682	1	2239328	2239445	FP					FP			FP			FP			FP		
INSIDE	HG941718.1	ISEc38	1	2244184	2245575	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc20	1	2249111	2250308	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS100kyp	1	2252431	2254146	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc23	2	2265918	2268335	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc12	2	2271323	2273605	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS200C	2	2284951	2285410	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS1R	1	2384729	2385394	FP	wrong_name				FP	wrong_name		FP	wrong_name		FP	wrong_name		FP	wrong_name	
INSIDE	HG941718.1	ISEc12	3	3112061	3114343	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS1A	1	3288145	3288872	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS1A	2	3290161	3290826	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS1203	1	3293265	3294392	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISKox3	1	3295131	3295878	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS30	1	3313322	3315260	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEch14	1	3316142	3317675	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS2	1	3323700	3324929	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS682	1	3334642	3335415	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc22	1	3336689	3338081	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc10	1	3360619	3362871	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc52	1	3558437	3559585	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS609	2	3820356	3821565	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS1F	1	4140093	4140791	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS629	1	4159080	4159592	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc49	2	4162406	4163438	FP					FP			FP			FP			FP		
INSIDE	HG941718.1	ISCro1	1	4171181	4173797	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS21	1	4175167	4177137	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc23	3	4925173	4927590	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEcp1	1	4937618	4940067	FP	wrong_name				FP	wrong_name		FP	wrong_name		FP	wrong_name		FP	wrong_name	
INSIDE	HG941718.1	ISSd1	1	4942429	4944198	FP	wrong_name				FP	wrong_name		FP	wrong_name		FP	wrong_name		FP	wrong_name	
INSIDE	HG941718.1	IS1F	2	4953170	4953868	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	IS629	1	4954027	4954138	FP					FP			FP			FP	wrong_name		FP	wrong_name	
INSIDE	HG941718.1	ISEc8	1	4956037	4958197	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc12	4	4972042	4974324	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc52	2	5007374	5008522	TP					TP			TP			TP			TP		
INSIDE	HG941718.1	ISEc53	1	5014841	5016599	TP					TP			TP			TP			TP		
INSIDE	HG941719.1	IS26	1	36339	38562	TP					TP			TP			TP			TP		
INSIDE	HG941719.1	IS15	1	43486	44203	FP	wrong_name				FP	wrong_name		FP	wrong_name		FP	wrong_name		FP	wrong_name	
INSIDE	HG941719.1	IS1R	2	66956	67654	TP					TP			TP			TP			TP		
INSIDE	HG941719.1	IS26	2	75367	76084	TP					TP			TP			TP			TP		
INSIDE	HG941719.1	IS26	3	86194	86911	TP					TP			TP			TP			TP		
INSIDE	HG941719.1	IS6100	1	93963	94758	TP					TP			TP			TP			TP		
INSIDE	HG941719.1	IS26	4	98096	98813	TP					TP			TP			TP			TP		
INSIDE	HG941719.1	IS26	5	102500	103217	TP					TP			TP			TP			TP		
