label	locus_id	target	is_stitched	contig	seg_start	seg_end	strand	seg_length
unsorted	locus_split_2a3a40fb	IS682_IS66_unknown_stitched	True	HG941718.1	3334553	3336544	1	1991
unsorted	locus_split_2a3a40fb	IS682_IS66_unknown_stitched	True	HG941718.1	2239105	2239532	1	427
unsorted	locus_split_ac36e415	IS629_IS3_IS51_stitched	True	HG941718.1	4158851	4159646	-1	795
unsorted	locus_split_ac36e415	IS629_IS3_IS51_stitched	True	HG941718.1	4953985	4954156	-1	171
unsorted	locus_split_7e46e77e	ISEc8_IS66_unknown_stitched	True	HG941718.1	3315934	3316102	1	168
unsorted	locus_split_7e46e77e	ISEc8_IS66_unknown_stitched	True	HG941718.1	4915869	4916118	1	249
unsorted	locus_split_455a8b4d	IS21_IS21_unknown_stitched	True	HG941718.1	2252235	2252365	1	130
unsorted	locus_split_455a8b4d	IS21_IS21_unknown_stitched	True	HG941718.1	2254407	2254575	1	168
unsorted	locus_f5cc0fdf	ISEc12_IS21_unknown	False	HG941718.1	1479959	1482540	1	2581
unsorted	locus_b5325705	ISEc12_IS21_unknown	False	HG941718.1	4971828	4974409	1	2581
unsorted	locus_7e61cebe	ISEc12_IS21_unknown	False	HG941718.1	3111847	3114428	1	2581
unsorted	locus_a46e4baa	ISEc12_IS21_unknown	False	HG941718.1	2271109	2273690	1	2581
unsorted	locus_f37906e8	ISCro1_IS66_unknown	False	HG941718.1	4171128	4173827	1	2699
unsorted	locus_7c62fd76	ISEc23_IS66_unknown	False	HG941718.1	233727	236259	1	2532
unsorted	locus_fed11361	ISEc23_IS66_unknown	False	HG941718.1	4925088	4927620	1	2532
unsorted	locus_2b594036	ISEc23_IS66_unknown	False	HG941718.1	2265833	2268365	1	2532
unsorted	locus_51e0de21	ISEc10_IS21_unknown	False	HG941718.1	3360526	3362935	1	2409
unsorted	locus_7b5ee37a	ISEc8_IS66_unknown	False	HG941718.1	4956000	4958289	-1	2289
unsorted	locus_05246709	IS21_IS21_unknown	False	HG941718.1	4175107	4177238	-1	2131
unsorted	locus_892de5ef	ISEc53_ISL3_unknown	False	HG941718.1	5014813	5016698	-1	1885
unsorted	locus_5695994d	IS100kyp_IS21_unknown	False	HG941718.1	2252365	2254232	-1	1867
unsorted	locus_02456899	ISEc9_IS1380_unknown	False	HG941718.1	4937432	4938941	1	1509
unsorted	locus_0e9d345f	ISEc38_ISL3_unknown	False	HG941718.1	2244066	2245788	-1	1722
unsorted	locus_c6a543a0	ISEc20_IS110_unknown	False	HG941718.1	2248880	2250339	1	1459
unsorted	locus_1e47504c	IS1397_IS3_IS150	False	HG941718.1	2135365	2136797	-1	1432
unsorted	locus_80cbf978	IS1397_IS3_IS150	False	HG941718.1	1997567	1998999	-1	1432
unsorted	locus_3702eec5	IS609_IS200/IS605_IS605	False	HG941718.1	3820313	3821771	-1	1458
unsorted	locus_b752aa03	ISEc22_IS66_unknown	False	HG941718.1	3336575	3338118	1	1543
unsorted	locus_e009ce32	ISEc52_IS3_IS3	False	HG941718.1	5007344	5008594	-1	1250
unsorted	locus_71f3efb4	ISEc52_IS3_IS3	False	HG941718.1	3558365	3559615	1	1250
unsorted	locus_b6d20e86	ISSd1_IS3_IS3	False	HG941718.1	4942385	4943650	-1	1265
unsorted	locus_2400bea0	ISEc24_IS3_IS51	False	HG941718.1	1372287	1373517	-1	1230
unsorted	locus_4209f786	IS30_IS30_unknown	False	HG941718.1	3313143	3314364	1	1221
unsorted	locus_8521ff6e	IS5_IS5_IS5	False	HG941718.1	4938940	4940135	-1	1195
unsorted	locus_f4d6134d	IS2_IS3_IS2	False	HG941718.1	3323689	3325020	-1	1331
unsorted	locus_96d1d89e	ISSd1_IS3_IS3	False	HG941718.1	3314362	3315303	1	941
unsorted	locus_6ac04376	IS4_IS4_IS4	False	HG941718.1	1417638	1418621	-1	983
unsorted	locus_e38ee537	IS1A_IS1_unknown	False	HG941718.1	3290146	3290914	-1	768
unsorted	locus_6b5e1a80	IS1A_IS1_unknown	False	HG941718.1	3288119	3288887	1	768
unsorted	locus_25c7a69d	IS1F_IS1_unknown	False	HG941718.1	4953115	4953883	1	768
unsorted	locus_14150e7f	IS1F_IS1_unknown	False	HG941718.1	4140078	4140846	-1	768
unsorted	locus_497c3588	ISEc52_IS3_IS3	False	HG941718.1	4943650	4944441	1	791
unsorted	locus_46c743a5	ISEc49_IS66_unknown	False	HG941718.1	4161813	4163725	-1	1912
unsorted	locus_73d219e8	IS200C_IS200/IS605_IS200	False	HG941718.1	2284842	2285551	-1	709
unsorted	locus_60af5a51	IS200C_IS200/IS605_IS200	False	HG941718.1	2142423	2143132	-1	709
unsorted	locus_937756fb	ISEch14_IS3_IS150	False	HG941718.1	3316099	3317706	1	1607
unsorted	locus_49745a5c	ISEc43_IS66_unknown	False	HG941718.1	4159663	4160356	1	693
unsorted	locus_b0bfd437	ISKox3_ISL3_unknown	False	HG941718.1	3295103	3295881	-1	778
unsorted	locus_80eec607	IS609_IS200/IS605_IS605	False	HG941718.1	2103782	2104446	-1	664
unsorted	locus_2a60d2fa	ISEc49_IS66_unknown	False	HG941718.1	4160374	4161488	-1	1114
unsorted	locus_8b85ea6b	ISCfr4_IS30_unknown	False	HG941718.1	1365630	1366324	1	694
unsorted	locus_099bc292	ISEc13_IS4_IS50	False	HG941718.1	4916123	4916576	1	453
unsorted	locus_2950c8b1	ISSen3_IS21_unknown	False	HG941718.1	1371326	1371811	-1	485
unsorted	locus_44657040	ISEc45_IS110_IS1111	False	HG941718.1	3318218	3318561	1	343
unsorted	locus_b4543853	ISSen1_IS3_IS3	False	HG941718.1	4976678	4977037	1	359
unsorted	locus_1702829a	ISLad1_IS3_IS3	False	HG941718.1	4922924	4923251	1	327
unsorted	locus_de2b24e9	IS682_IS66_unknown	False	HG941718.1	4924643	4924985	-1	342
unsorted	locus_8d5c87c2	ISEc83_IS66_unknown	False	HG941718.1	3320731	3320925	1	194
unsorted	locus_8c23be9a	ISEcp1_IS1380_unknown	False	HG941718.1	4940135	4940287	1	152
unsorted	locus_c83213af	MITEEc1_IS630_unknown	False	HG941718.1	3237314	3237436	-1	122
unsorted	locus_649464c4	MITEEc1_IS630_unknown	False	HG941718.1	814902	815025	-1	123
unsorted	locus_525111a8	ISKpn37_IS3_IS3	False	HG941718.1	3290039	3290146	-1	107
unsorted	locus_844aab35	IS2_IS3_IS2	False	HG941718.1	2238863	2239037	1	174
unsorted	locus_e0fa1fca	IS621_IS110_unknown	False	HG941718.1	1997445	1997536	1	91
unsorted	locus_c0877e95	ISSfl4_IS110_unknown	False	HG941718.1	3294446	3294511	-1	65
unsorted	locus_0d876c9c	ISEc23_IS66_unknown	False	HG941719.1	131258	133790	-1	2532
unsorted	locus_185e1188	IS6100_IS6_unknown	False	HG941719.1	93932	94812	1	880
unsorted	locus_e2aee517	IS26_IS6_unknown	False	HG941719.1	36288	37108	1	820
unsorted	locus_caa935b5	IS26_IS6_unknown	False	HG941719.1	86143	86963	1	820
unsorted	locus_bf12dc30	IS26_IS6_unknown	False	HG941719.1	102449	103269	1	820
unsorted	locus_e6a90f30	IS26_IS6_unknown	False	HG941719.1	105455	106275	-1	820
unsorted	locus_01c63420	IS26_IS6_unknown	False	HG941719.1	98044	98864	-1	820
unsorted	locus_c0d96b43	IS15DI_IS6_unknown	False	HG941719.1	43434	44254	-1	820
unsorted	locus_0780208c	IS26_IS6_unknown	False	HG941719.1	113686	114506	-1	820
unsorted	locus_a6dc855a	IS26_IS6_unknown	False	HG941719.1	75316	76136	1	820
unsorted	locus_42218e33	IS1A_IS1_unknown	False	HG941719.1	120367	121135	1	768
unsorted	locus_dffa8499	IS1R_IS1_unknown	False	HG941719.1	66901	67669	1	768
unsorted	locus_0ca44836	ISErsp1_IS481_unknown	False	HG941719.1	117945	118131	-1	186
