locus_id	target	gene_id	context	dist_bp	topo_hops	orientation	effect	fractional_depth
locus_split_6ae01186	ISEc8_IS66_unknown_stitched	2315248_1_76	INSIDE	0	0	same strand	NONE	0.488
locus_split_6ae01186	ISEc8_IS66_unknown_stitched	2315248_77_158	INSIDE	0	0	opposite strand	NONE	0.488
locus_split_6ae01186	ISEc8_IS66_unknown_stitched	2411647_2_107	INSIDE	0	0	opposite strand	NONE	0.488
locus_split_6ae01186	ISEc8_IS66_unknown_stitched	2411647_156_450	INSIDE	0	0	opposite strand	NONE	0.488
locus_split_6ae01186	ISEc8_IS66_unknown_stitched	2411647_500_884	INSIDE	0	0	opposite strand	NONE	0.488
locus_split_6ae01186	ISEc8_IS66_unknown_stitched	2420536_0_363	INSIDE	0	0	same strand	NONE	0.488
locus_split_6ae01186	ISEc8_IS66_unknown_stitched	1897787_1_142	INSIDE	0	0	opposite strand	NONE	0.488
locus_split_6ae01186	ISEc8_IS66_unknown_stitched	2404214_0_192	INSIDE	0	0	same strand	NONE	0.488
locus_split_42c53ee3	ISEc8_IS66_unknown_stitched	2315248_1_76	INSIDE	0	0	opposite strand	NONE	0.714
locus_split_42c53ee3	ISEc8_IS66_unknown_stitched	2315248_77_158	INSIDE	0	0	same strand	NONE	0.714
locus_split_42c53ee3	ISEc8_IS66_unknown_stitched	2411647_2_107	INSIDE	0	0	opposite strand	NONE	0.714
locus_split_42c53ee3	ISEc8_IS66_unknown_stitched	2411647_156_450	INSIDE	0	0	opposite strand	NONE	0.714
locus_split_42c53ee3	ISEc8_IS66_unknown_stitched	2411647_500_884	INSIDE	0	0	opposite strand	NONE	0.714
locus_split_42c53ee3	ISEc8_IS66_unknown_stitched	2420536_0_363	INSIDE	0	0	same strand	NONE	0.714
locus_split_42c53ee3	ISEc8_IS66_unknown_stitched	2369682_1_142	INSIDE	0	0	same strand	NONE	0.714
locus_split_42c53ee3	ISEc8_IS66_unknown_stitched	2417567_0_321	UPSTREAM	262	0	same strand	NONE	0.714
locus_split_42c53ee3	ISEc8_IS66_unknown_stitched	2404214_0_192	DOWNSTREAM	1	1	same strand	NONE	0.714
locus_split_2723d39b	ISEc8_IS66_unknown_stitched	2418702_581_809	OVERLAPPING_START	0	0	opposite strand	DISRUPTED	0.832
locus_split_2723d39b	ISEc8_IS66_unknown_stitched	2315248_1_76	INSIDE	0	0	opposite strand	NONE	0.832
locus_split_2723d39b	ISEc8_IS66_unknown_stitched	2315248_77_158	INSIDE	0	0	same strand	NONE	0.832
locus_split_2723d39b	ISEc8_IS66_unknown_stitched	2411647_2_107	INSIDE	0	0	opposite strand	NONE	0.832
locus_split_2723d39b	ISEc8_IS66_unknown_stitched	2411647_156_450	INSIDE	0	0	opposite strand	NONE	0.832
locus_split_2723d39b	ISEc8_IS66_unknown_stitched	2411647_500_884	INSIDE	0	0	opposite strand	NONE	0.832
locus_split_2723d39b	ISEc8_IS66_unknown_stitched	2420536_0_363	INSIDE	0	0	same strand	NONE	0.832
locus_split_2723d39b	ISEc8_IS66_unknown_stitched	1897787_1_142	INSIDE	0	0	same strand	NONE	0.832
locus_split_2723d39b	ISEc8_IS66_unknown_stitched	2418702_2_533	UPSTREAM	207	0	same strand	NONE	0.832
locus_split_88397aa1	ISEc8_IS66_unknown_stitched	2420294_103_1204	OVERLAPPING_START	0	0	same strand	DISRUPTED	1.0
locus_split_88397aa1	ISEc8_IS66_unknown_stitched	2420536_0_363	DOWNSTREAM	0	1	opposite strand	NONE	1.0
locus_split_88397aa1	ISEc8_IS66_unknown_stitched	2369682_1_142	DOWNSTREAM	365	2	opposite strand	NONE	1.0
locus_split_88397aa1	ISEc8_IS66_unknown_stitched	1897787_1_142	DOWNSTREAM	365	2	opposite strand	NONE	1.0
locus_split_21c97b14	ISEc8_IS66_unknown_stitched	2419184_0_141	INSIDE	0	0	same strand	NONE	0.934
locus_split_21c97b14	ISEc8_IS66_unknown_stitched	630745_1_79	INSIDE	0	0	opposite strand	NONE	0.934
