locus_id	target	gene_id	context	dist_bp	topo_hops	orientation	effect	fractional_depth
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_3334642_3335068	INSIDE	0	0	same strand	NONE	1.0
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_3335118_3335415	INSIDE	0	0	same strand	NONE	1.0
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_3335445_3336546	OVERLAPPING_END	0	0	same strand	DISRUPTED	1.0
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_2238980_2239202	OVERLAPPING_START	0	0	same strand	DISRUPTED	1.0
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_2239328_2239445	INSIDE	0	0	same strand	NONE	1.0
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_3334275_3334437	UPSTREAM	116	0	opposite strand	NONE	1.0
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_3334009_3334210	UPSTREAM	343	0	same strand	NONE	1.0
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_3333064_3333982	UPSTREAM	571	0	opposite strand	NONE	1.0
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_2239640_2240855	DOWNSTREAM	108	0	same strand	NONE	1.0
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_2240868_2241627	DOWNSTREAM	1336	0	same strand	NONE	1.0
locus_split_0a5cbd88	IS682_IS66_unknown_stitched	HG941718.1_2241680_2242646	DOWNSTREAM	2148	0	same strand	NONE	1.0
locus_split_234b2a00	IS629_IS3_IS51_stitched	HG941718.1_4158786_4159068	OVERLAPPING_END	0	0	same strand	DISRUPTED	1.0
locus_split_234b2a00	IS629_IS3_IS51_stitched	HG941718.1_4159080_4159194	INSIDE	0	0	opposite strand	NONE	1.0
locus_split_234b2a00	IS629_IS3_IS51_stitched	HG941718.1_4159265_4159592	INSIDE	0	0	same strand	NONE	1.0
locus_split_234b2a00	IS629_IS3_IS51_stitched	HG941718.1_4954027_4954138	INSIDE	0	0	same strand	NONE	1.0
locus_split_234b2a00	IS629_IS3_IS51_stitched	HG941718.1_4159649_4160195	UPSTREAM	3	0	opposite strand	NONE	1.0
locus_split_234b2a00	IS629_IS3_IS51_stitched	HG941718.1_4160352_4160985	UPSTREAM	706	0	same strand	NONE	1.0
locus_split_234b2a00	IS629_IS3_IS51_stitched	HG941718.1_4161107_4161491	UPSTREAM	1461	0	same strand	NONE	1.0
locus_split_234b2a00	IS629_IS3_IS51_stitched	HG941718.1_4953658_4953868	DOWNSTREAM	117	0	opposite strand	NONE	1.0
locus_split_234b2a00	IS629_IS3_IS51_stitched	HG941718.1_4953490_4953658	DOWNSTREAM	327	0	opposite strand	NONE	1.0
locus_split_234b2a00	IS629_IS3_IS51_stitched	HG941718.1_4953170_4953446	DOWNSTREAM	539	0	opposite strand	NONE	1.0
locus_split_19ac4d15	ISEc8_IS66_unknown_stitched	HG941718.1_4915805_4916081	OVERLAPPING_START	0	0	same strand	DISRUPTED	1.0
locus_split_19ac4d15	ISEc8_IS66_unknown_stitched	HG941718.1_3315775_3315871	UPSTREAM	63	0	opposite strand	NONE	1.0
locus_split_19ac4d15	ISEc8_IS66_unknown_stitched	HG941718.1_3315271_3315727	UPSTREAM	207	0	same strand	NONE	1.0
locus_split_19ac4d15	ISEc8_IS66_unknown_stitched	HG941718.1_3314441_3315260	UPSTREAM	674	0	same strand	NONE	1.0
locus_split_19ac4d15	ISEc8_IS66_unknown_stitched	HG941718.1_4916194_4916410	DOWNSTREAM	76	0	opposite strand	NONE	1.0
locus_split_19ac4d15	ISEc8_IS66_unknown_stitched	HG941718.1_4916874_4917639	DOWNSTREAM	756	0	opposite strand	NONE	1.0
locus_split_19ac4d15	ISEc8_IS66_unknown_stitched	HG941718.1_4917774_4917855	DOWNSTREAM	1656	0	opposite strand	NONE	1.0
locus_split_eed9f22b	IS21_IS21_unknown_stitched	HG941718.1_2252147_2252282	OVERLAPPING_START	0	0	same strand	DISRUPTED	1.0
locus_split_eed9f22b	IS21_IS21_unknown_stitched	HG941718.1_2252290_2252422	OVERLAPPING_END	0	0	same strand	DISRUPTED	1.0
locus_split_eed9f22b	IS21_IS21_unknown_stitched	HG941718.1_2254198_2254471	OVERLAPPING_START	0	0	same strand	DISRUPTED	1.0
locus_split_eed9f22b	IS21_IS21_unknown_stitched	HG941718.1_2251879_2252095	UPSTREAM	140	0	same strand	NONE	1.0
locus_split_eed9f22b	IS21_IS21_unknown_stitched	HG941718.1_2251692_2251785	UPSTREAM	450	0	same strand	NONE	1.0
locus_split_eed9f22b	IS21_IS21_unknown_stitched	HG941718.1_2251540_2251633	UPSTREAM	602	0	opposite strand	NONE	1.0
locus_split_eed9f22b	IS21_IS21_unknown_stitched	HG941718.1_2254776_2254914	DOWNSTREAM	201	0	same strand	NONE	1.0
locus_split_eed9f22b	IS21_IS21_unknown_stitched	HG941718.1_2255643_2256816	DOWNSTREAM	1068	0	same strand	NONE	1.0
locus_split_eed9f22b	IS21_IS21_unknown_stitched	HG941718.1_2256880_2257117	DOWNSTREAM	2305	0	same strand	NONE	1.0
locus_89ff5215	ISEc12_IS21_unknown	HG941718.1_233363_233759	OVERLAPPING_START	0	0	opposite strand	DISRUPTED	1.0
locus_89ff5215	ISEc12_IS21_unknown	HG941718.1_233812_234238	INSIDE	0	0	same strand	NONE	1.0
locus_89ff5215	ISEc12_IS21_unknown	HG941718.1_234288_234585	INSIDE	0	0	same strand	NONE	1.0
