target	gene_id	transcript	chromStart	chromEnd	Buffer_10	Buffer_15	Buffer_25	Buffer_50	name	score	strand
ISEc23_IS66_unknown_stitched	1116087_0_222	1116087	0	222	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1244816_2_1133	1244816	2	1133	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1176191_31_181	1176191	31	181	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1245048_2_80	1245048	2	80	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1244700_0_438	1244700	0	438	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1244700_468_765	1244700	468	765	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1244700_815_1241	1244700	815	1241	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1245048_350_1364	1245048	350	1364	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1245048_1375_2692	1245048	1375	2692	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1245048_2719_3667	1245048	2719	3667	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1159225_0_222	1159225	0	222	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1244816_2_1133	1244816	2	1133	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1176191_31_181	1176191	31	181	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1243328_66_579	1243328	66	579	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1243328_631_2350	1243328	631	2350	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1243328_2460_2970	1243328	2460	2970	FP	FP	FP	FP			
ISEc23_IS66_unknown_stitched	1243328_3164_3569	1243328	3164	3569	FP	FP	FP	FP			
ISEc52_IS3_IS3_stitched	1243586_2_383	1243586	2	383	FP	FP	FP	FP			
ISEc52_IS3_IS3_stitched	1245082_1_370	1245082	1	370	FP	FP	FP	FP			
ISEc52_IS3_IS3_stitched	238677_0_114	238677	0	114	FP	FP	FP	FP			
ISEc52_IS3_IS3_stitched	1206755_157_400	1206755	157	400	FP	FP	FP	FP			
ISEc52_IS3_IS3_stitched	1206755_1_142	1206755	1	142	FP	FP	FP	FP			
ISEc52_IS3_IS3_stitched	1244434_0_249	1244434	0	249	FP	FP	FP	FP			
ISEc52_IS3_IS3_stitched	1228204_2_239	1228204	2	239	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	976171_2_143	976171	2	143	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	1243758_1_889	1243758	1	889	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	1245048_14919_15024	1245048	14919	15024	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	1245048_14094_14771	1245048	14094	14771	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	1245048_12809_14039	1245048	12809	14039	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	1245048_12558_12690	1245048	12558	12690	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	1242602_1298_1439	1242602	1298	1439	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	1243758_1_889	1243758	1	889	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	1242486_318_774	1242486	318	774	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	1242486_785_890	1242486	785	890	FP	FP	FP	FP			
IS600_IS3_IS3_stitched	1242486_0_270	1242486	0	270	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1241248_2_185	1241248	2	185	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1241248_256_778	1241248	256	778	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1234872_2_299	1234872	2	299	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1208211_1_160	1208211	1	160	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1015060_0_222	1015060	0	222	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244160_0_330	1244160	0	330	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1245026_1_79	1245026	1	79	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244664_4570_5221	1244664	4570	5221	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244664_4346_4484	1244664	4346	4484	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244664_4031_4184	1244664	4031	4184	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1245026_272_1019	1245026	272	1019	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1245026_1054_1810	1245026	1054	1810	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1245026_1834_2821	1245026	1834	2821	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1216050_2_299	1216050	2	299	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1208211_1_160	1208211	1	160	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1015060_0_222	1015060	0	222	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244160_0_330	1244160	0	330	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244458_31424_31544	1244458	31424	31544	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244458_30781_31417	1244458	30781	31417	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244458_29776_30781	1244458	29776	30781	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244458_29254_29668	1244458	29254	29668	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1234872_2_299	1234872	2	299	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1208211_1_160	1208211	1	160	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1015060_0_222	1015060	0	222	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244160_0_330	1244160	0	330	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244458_31424_31544	1244458	31424	31544	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244458_30781_31417	1244458	30781	31417	FP	FP	FP	FP			
IS1397_IS3_IS150_stitched	1244458_29776_30781	1244458	29776	30781	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1135873_1_76	1135873	1	76	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1135873_77_158	1135873	77	158	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1236644_0_147	1236644	0	147	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1236644_196_490	1236644	196	490	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1236644_540_942	1236644	540	942	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1235120_0_363	1235120	0	363	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1125059_2_221	1125059	2	221	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1240608_0_192	1240608	0	192	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1245098_659_788	1245098	659	788	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1245098_1_481	1245098	1	481	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1242486_0_270	1242486	0	270	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1236644_0_147	1236644	0	147	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1236644_196_490	1236644	196	490	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1236644_540_942	1236644	540	942	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1235120_0_363	1235120	0	363	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1234604_2_221	1234604	2	221	FP	FP	FP	FP			
