locus_id	target	gene_id	context	dist_bp	topo_hops	orientation	effect	copy_number
locus_split_3abe56f2	ISEc23_IS66_unknown_stitched	1116087_0_222	INSIDE	0	0	same strand	NONE	3.0
locus_split_3abe56f2	ISEc23_IS66_unknown_stitched	1244816_2_1133	INSIDE	0	0	same strand	NONE	3.0
locus_split_3abe56f2	ISEc23_IS66_unknown_stitched	1176191_31_181	INSIDE	0	0	opposite strand	NONE	3.0
locus_split_3abe56f2	ISEc23_IS66_unknown_stitched	1245048_2_80	INSIDE	0	0	same strand	NONE	3.0
locus_split_3abe56f2	ISEc23_IS66_unknown_stitched	1244700_0_438	UPSTREAM	0	1	opposite strand	NONE	3.0
locus_split_3abe56f2	ISEc23_IS66_unknown_stitched	1244700_468_765	UPSTREAM	468	1	opposite strand	NONE	3.0
locus_split_3abe56f2	ISEc23_IS66_unknown_stitched	1244700_815_1241	UPSTREAM	815	1	opposite strand	NONE	3.0
locus_split_3abe56f2	ISEc23_IS66_unknown_stitched	1245048_350_1364	DOWNSTREAM	240	0	opposite strand	NONE	3.0
locus_split_3abe56f2	ISEc23_IS66_unknown_stitched	1245048_1375_2692	DOWNSTREAM	1265	0	opposite strand	NONE	3.0
locus_split_3abe56f2	ISEc23_IS66_unknown_stitched	1245048_2719_3667	DOWNSTREAM	2609	0	opposite strand	NONE	3.0
locus_split_aee89c0c	ISEc52_IS3_IS3_stitched	1243586_2_383	INSIDE	0	0	same strand	NONE	3.0
locus_split_aee89c0c	ISEc52_IS3_IS3_stitched	1245082_1_370	INSIDE	0	0	same strand	NONE	3.0
locus_split_aee89c0c	ISEc52_IS3_IS3_stitched	238677_0_114	INSIDE	0	0	same strand	NONE	3.0
locus_split_aee89c0c	ISEc52_IS3_IS3_stitched	1206755_157_400	UPSTREAM	3	1	same strand	NONE	3.0
locus_split_aee89c0c	ISEc52_IS3_IS3_stitched	1206755_1_142	UPSTREAM	261	1	opposite strand	NONE	3.0
locus_split_aee89c0c	ISEc52_IS3_IS3_stitched	1244434_0_249	UPSTREAM	0	1	same strand	NONE	3.0
locus_split_aee89c0c	ISEc52_IS3_IS3_stitched	1228204_2_239	UPSTREAM	405	2	opposite strand	NONE	3.0
locus_split_60014a71	IS600_IS3_IS3_stitched	976171_2_143	INSIDE	0	0	same strand	NONE	2.0
locus_split_60014a71	IS600_IS3_IS3_stitched	1243758_1_889	INSIDE	0	0	same strand	NONE	2.0
locus_split_60014a71	IS600_IS3_IS3_stitched	1242486_318_774	OVERLAPPING_END	0	0	same strand	DISRUPTED	2.0
locus_split_60014a71	IS600_IS3_IS3_stitched	1242486_785_890	INSIDE	0	0	same strand	NONE	2.0
locus_split_60014a71	IS600_IS3_IS3_stitched	1242486_0_270	DOWNSTREAM	472	0	opposite strand	NONE	2.0
locus_split_54bcffe0	IS1397_IS3_IS150_stitched	1241248_2_185	INSIDE	0	0	opposite strand	NONE	2.0
locus_split_54bcffe0	IS1397_IS3_IS150_stitched	1241248_256_778	INSIDE	0	0	same strand	NONE	2.0
locus_split_54bcffe0	IS1397_IS3_IS150_stitched	1234872_2_299	INSIDE	0	0	opposite strand	NONE	2.0
locus_split_54bcffe0	IS1397_IS3_IS150_stitched	1208211_1_160	INSIDE	0	0	same strand	NONE	2.0
locus_split_54bcffe0	IS1397_IS3_IS150_stitched	1015060_0_222	INSIDE	0	0	opposite strand	NONE	2.0
locus_split_54bcffe0	IS1397_IS3_IS150_stitched	1244160_0_330	INSIDE	0	0	same strand	NONE	2.0
