locus_id	target	gene_id	context	dist_bp	topo_hops	orientation	effect	fractional_depth
locus_split_e96e3e49	ISEc23_IS66_unknown_stitched	1116087_0_222	INSIDE	0	0	same strand	NONE	0.915
locus_split_e96e3e49	ISEc23_IS66_unknown_stitched	1244816_2_1133	INSIDE	0	0	same strand	NONE	0.915
locus_split_e96e3e49	ISEc23_IS66_unknown_stitched	1176191_31_181	INSIDE	0	0	opposite strand	NONE	0.915
locus_split_e96e3e49	ISEc23_IS66_unknown_stitched	1245048_2_80	INSIDE	0	0	same strand	NONE	0.915
locus_split_e96e3e49	ISEc23_IS66_unknown_stitched	1244700_0_438	UPSTREAM	0	1	opposite strand	NONE	0.915
locus_split_e96e3e49	ISEc23_IS66_unknown_stitched	1244700_468_765	UPSTREAM	468	1	opposite strand	NONE	0.915
locus_split_e96e3e49	ISEc23_IS66_unknown_stitched	1244700_815_1241	UPSTREAM	815	1	opposite strand	NONE	0.915
locus_split_e96e3e49	ISEc23_IS66_unknown_stitched	1245048_350_1364	DOWNSTREAM	240	0	opposite strand	NONE	0.915
locus_split_e96e3e49	ISEc23_IS66_unknown_stitched	1245048_1375_2692	DOWNSTREAM	1265	0	opposite strand	NONE	0.915
locus_split_e96e3e49	ISEc23_IS66_unknown_stitched	1245048_2719_3667	DOWNSTREAM	2609	0	opposite strand	NONE	0.915
locus_split_6683cf2e	ISEc23_IS66_unknown_stitched	1159225_0_222	INSIDE	0	0	same strand	NONE	0.452
locus_split_6683cf2e	ISEc23_IS66_unknown_stitched	1244816_2_1133	INSIDE	0	0	same strand	NONE	0.452
locus_split_6683cf2e	ISEc23_IS66_unknown_stitched	1176191_31_181	INSIDE	0	0	opposite strand	NONE	0.452
locus_split_6683cf2e	ISEc23_IS66_unknown_stitched	1243328_66_579	OVERLAPPING_END	0	0	opposite strand	DISRUPTED	0.452
locus_split_6683cf2e	ISEc23_IS66_unknown_stitched	1243328_631_2350	DOWNSTREAM	521	0	opposite strand	NONE	0.452
locus_split_6683cf2e	ISEc23_IS66_unknown_stitched	1243328_2460_2970	DOWNSTREAM	2350	0	opposite strand	NONE	0.452
locus_split_6683cf2e	ISEc23_IS66_unknown_stitched	1243328_3164_3569	DOWNSTREAM	3054	0	opposite strand	NONE	0.452
locus_split_419597b9	ISEc52_IS3_IS3_stitched	1243586_2_383	INSIDE	0	0	same strand	NONE	0.67
locus_split_419597b9	ISEc52_IS3_IS3_stitched	1245082_1_370	INSIDE	0	0	same strand	NONE	0.67
locus_split_419597b9	ISEc52_IS3_IS3_stitched	238677_0_114	INSIDE	0	0	same strand	NONE	0.67
locus_split_419597b9	ISEc52_IS3_IS3_stitched	1206755_157_400	UPSTREAM	3	1	same strand	NONE	0.67
locus_split_419597b9	ISEc52_IS3_IS3_stitched	1206755_1_142	UPSTREAM	261	1	opposite strand	NONE	0.67
locus_split_419597b9	ISEc52_IS3_IS3_stitched	1244434_0_249	UPSTREAM	0	1	same strand	NONE	0.67
locus_split_419597b9	ISEc52_IS3_IS3_stitched	1228204_2_239	UPSTREAM	405	2	opposite strand	NONE	0.67
locus_split_a16520c1	IS600_IS3_IS3_stitched	976171_2_143	INSIDE	0	0	same strand	NONE	1.0
locus_split_a16520c1	IS600_IS3_IS3_stitched	1243758_1_889	INSIDE	0	0	same strand	NONE	1.0
locus_split_a16520c1	IS600_IS3_IS3_stitched	1245048_14919_15024	INSIDE	0	0	same strand	NONE	1.0
locus_split_a16520c1	IS600_IS3_IS3_stitched	1245048_14094_14771	DOWNSTREAM	104	0	same strand	NONE	1.0
locus_split_a16520c1	IS600_IS3_IS3_stitched	1245048_12809_14039	DOWNSTREAM	836	0	opposite strand	NONE	1.0
locus_split_a16520c1	IS600_IS3_IS3_stitched	1245048_12558_12690	DOWNSTREAM	2185	0	opposite strand	NONE	1.0
locus_split_ac91d677	IS600_IS3_IS3_stitched	1242602_1298_1439	OVERLAPPING_END	0	0	opposite strand	DISRUPTED	1.0
locus_split_ac91d677	IS600_IS3_IS3_stitched	1243758_1_889	INSIDE	0	0	same strand	NONE	1.0
locus_split_ac91d677	IS600_IS3_IS3_stitched	1242486_318_774	OVERLAPPING_END	0	0	same strand	DISRUPTED	1.0
locus_split_ac91d677	IS600_IS3_IS3_stitched	1242486_785_890	INSIDE	0	0	same strand	NONE	1.0
locus_split_ac91d677	IS600_IS3_IS3_stitched	1242486_0_270	DOWNSTREAM	472	0	opposite strand	NONE	1.0
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1241248_2_185	INSIDE	0	0	opposite strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1241248_256_778	INSIDE	0	0	same strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1234872_2_299	INSIDE	0	0	opposite strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1208211_1_160	INSIDE	0	0	same strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1015060_0_222	INSIDE	0	0	opposite strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1244160_0_330	INSIDE	0	0	same strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1245026_1_79	INSIDE	0	0	same strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1244664_4570_5221	UPSTREAM	320	1	opposite strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1244664_4346_4484	UPSTREAM	1057	1	same strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1244664_4031_4184	UPSTREAM	1357	1	same strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1245026_272_1019	DOWNSTREAM	161	0	opposite strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1245026_1054_1810	DOWNSTREAM	943	0	opposite strand	NONE	0.442
locus_split_a3784eaf	IS1397_IS3_IS150_stitched	1245026_1834_2821	DOWNSTREAM	1723	0	same strand	NONE	0.442
locus_split_45a35e4f	IS1397_IS3_IS150_stitched	1216050_2_299	INSIDE	0	0	same strand	NONE	1.0
locus_split_45a35e4f	IS1397_IS3_IS150_stitched	1208211_1_160	INSIDE	0	0	same strand	NONE	1.0
locus_split_45a35e4f	IS1397_IS3_IS150_stitched	1015060_0_222	INSIDE	0	0	opposite strand	NONE	1.0
locus_split_45a35e4f	IS1397_IS3_IS150_stitched	1244160_0_330	INSIDE	0	0	same strand	NONE	1.0
locus_split_45a35e4f	IS1397_IS3_IS150_stitched	1244458_31424_31544	OVERLAPPING_END	0	0	opposite strand	DISRUPTED	1.0
locus_split_45a35e4f	IS1397_IS3_IS150_stitched	1244458_30781_31417	DOWNSTREAM	51	0	opposite strand	NONE	1.0
locus_split_45a35e4f	IS1397_IS3_IS150_stitched	1244458_29776_30781	DOWNSTREAM	687	0	opposite strand	NONE	1.0
locus_split_45a35e4f	IS1397_IS3_IS150_stitched	1244458_29254_29668	DOWNSTREAM	1800	0	opposite strand	NONE	1.0
locus_split_c12e436d	IS1397_IS3_IS150_stitched	1234872_2_299	INSIDE	0	0	same strand	NONE	0.817
locus_split_c12e436d	IS1397_IS3_IS150_stitched	1208211_1_160	INSIDE	0	0	same strand	NONE	0.817
locus_split_c12e436d	IS1397_IS3_IS150_stitched	1015060_0_222	INSIDE	0	0	opposite strand	NONE	0.817
locus_split_c12e436d	IS1397_IS3_IS150_stitched	1244160_0_330	INSIDE	0	0	same strand	NONE	0.817
locus_split_c12e436d	IS1397_IS3_IS150_stitched	1244458_31424_31544	DOWNSTREAM	35	1	opposite strand	NONE	0.817
locus_split_c12e436d	IS1397_IS3_IS150_stitched	1244458_30781_31417	DOWNSTREAM	162	1	opposite strand	NONE	0.817
locus_split_c12e436d	IS1397_IS3_IS150_stitched	1244458_29776_30781	DOWNSTREAM	798	1	opposite strand	NONE	0.817
locus_split_1bc2c832	ISEc8_IS66_unknown_stitched	1135873_1_76	INSIDE	0	0	same strand	NONE	0.512
