context	transcript	name	repeats	chromStart	chromEnd	synonyms_0	buffer_0	score	strand	synonyms_50	buffer_50	synonyms_100	buffer_100	synonyms_200	buffer_200	synonyms_400	buffer_400
INSIDE	HG941718.1	ISEc23	1	233812	236229		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc24	1	1372322	1373458		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc12	1	1480173	1482455		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc1	1	1647672	1648809	['H-ISEc3ISEc2ISEc4ISEc6ISEc7', 'H-rptB', 'H-rptC1', 'H-rptC2', 'H-rptE', 'ISEc5', 'RhsB', 'RhsC', 'RhsE']	TP			['H-ISEc3ISEc2ISEc4ISEc6ISEc7', 'H-rptB', 'H-rptC1', 'H-rptC2', 'H-rptE', 'ISEc5', 'RhsB', 'RhsC', 'RhsE']	TP	['H-ISEc3ISEc2ISEc4ISEc6ISEc7', 'H-rptB', 'H-rptC1', 'H-rptC2', 'H-rptE', 'ISEc5', 'RhsB', 'RhsC', 'RhsE']	TP	['H-ISEc3ISEc2ISEc4ISEc6ISEc7', 'H-rptB', 'H-rptC1', 'H-rptC2', 'H-rptE', 'ISEc5', 'RhsB', 'RhsC', 'RhsE']	TP	['H-ISEc3ISEc2ISEc4ISEc6ISEc7', 'H-rptB', 'H-rptC1', 'H-rptC2', 'H-rptE', 'ISEc5', 'RhsB', 'RhsC', 'RhsE']	TP
INSIDE	HG941718.1	IS1397	1	1997599	1998948		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS609	1	2103938	2104037		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS1397	2	2135397	2136746		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS200C	1	2142532	2142991	['IS1469', 'IS200', 'IS200-SAO', 'IS200B', 'IS200F', 'IS200H']	TP			['IS1469', 'IS200', 'IS200-SAO', 'IS200B', 'IS200F', 'IS200H']	TP	['IS1469', 'IS200', 'IS200-SAO', 'IS200B', 'IS200F', 'IS200H']	TP	['IS1469', 'IS200', 'IS200-SAO', 'IS200B', 'IS200F', 'IS200H']	TP	['IS1469', 'IS200', 'IS200-SAO', 'IS200B', 'IS200F', 'IS200H']	TP
INSIDE	HG941718.1	ISEc38	1	2244184	2245575		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc20	1	2249111	2250308		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS100kyp	1	2252431	2254146	['IS100', 'IS100L', 'IS100X']	TP			['IS100', 'IS100L', 'IS100X']	TP	['IS100', 'IS100L', 'IS100X']	TP	['IS100', 'IS100L', 'IS100X']	TP	['IS100', 'IS100L', 'IS100X']	TP
INSIDE	HG941718.1	ISEc23	2	2265918	2268335		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc12	2	2271323	2273605		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS200C	2	2284951	2285410	['IS1469', 'IS200', 'IS200-SAO', 'IS200B', 'IS200F', 'IS200H']	TP			['IS1469', 'IS200', 'IS200-SAO', 'IS200B', 'IS200F', 'IS200H']	TP	['IS1469', 'IS200', 'IS200-SAO', 'IS200B', 'IS200F', 'IS200H']	TP	['IS1469', 'IS200', 'IS200-SAO', 'IS200B', 'IS200F', 'IS200H']	TP	['IS1469', 'IS200', 'IS200-SAO', 'IS200B', 'IS200F', 'IS200H']	TP
INSIDE	HG941718.1	IS1R	1	2384729	2385394	['IS1A', 'IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1S', 'IS1SD']	TP			['IS1A', 'IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1S', 'IS1SD']	TP	['IS1A', 'IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1S', 'IS1SD']	TP	['IS1A', 'IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1S', 'IS1SD']	TP	['IS1A', 'IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1S', 'IS1SD']	TP
INSIDE	HG941718.1	ISEc12	3	3112061	3114343		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS1A	1	3288145	3288872	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP			['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP
