label	locus_id	target	is_stitched	contig	seg_start	seg_end	strand	seg_length
sorted	locus_split_1907ffcb	IS682_IS66_unknown_stitched	True	HG941718.1	3334553	3336544	1	1991
sorted	locus_split_1907ffcb	IS682_IS66_unknown_stitched	True	HG941718.1	2239105	2239532	1	427
sorted	locus_split_339c9fb1	IS629_IS3_IS51_stitched	True	HG941718.1	4158851	4159646	-1	795
sorted	locus_split_339c9fb1	IS629_IS3_IS51_stitched	True	HG941718.1	4953985	4954156	-1	171
sorted	locus_split_49ec4578	ISEc8_IS66_unknown_stitched	True	HG941718.1	3315934	3316102	1	168
sorted	locus_split_49ec4578	ISEc8_IS66_unknown_stitched	True	HG941718.1	4915869	4916118	1	249
sorted	locus_split_73d2466c	IS21_IS21_unknown_stitched	True	HG941718.1	2252235	2252365	1	130
sorted	locus_split_73d2466c	IS21_IS21_unknown_stitched	True	HG941718.1	2254407	2254575	1	168
sorted	locus_28135ad4	ISEc12_IS21_unknown	False	HG941718.1	1479959	1482540	1	2581
sorted	locus_5f259da4	ISEc12_IS21_unknown	False	HG941718.1	4971828	4974409	1	2581
sorted	locus_033d173b	ISEc12_IS21_unknown	False	HG941718.1	3111847	3114428	1	2581
sorted	locus_9842ec30	ISEc12_IS21_unknown	False	HG941718.1	2271109	2273690	1	2581
sorted	locus_71773c07	ISCro1_IS66_unknown	False	HG941718.1	4171128	4173827	1	2699
sorted	locus_dfa6cb8a	ISEc23_IS66_unknown	False	HG941718.1	233727	236259	1	2532
sorted	locus_1b64213d	ISEc23_IS66_unknown	False	HG941718.1	4925088	4927620	1	2532
sorted	locus_da7e034c	ISEc23_IS66_unknown	False	HG941718.1	2265833	2268365	1	2532
sorted	locus_09019e18	ISEc10_IS21_unknown	False	HG941718.1	3360526	3362935	1	2409
sorted	locus_e44e956a	ISEc8_IS66_unknown	False	HG941718.1	4956000	4958289	-1	2289
sorted	locus_8be41c88	IS21_IS21_unknown	False	HG941718.1	4175107	4177238	-1	2131
sorted	locus_8456d4bb	ISEc53_ISL3_unknown	False	HG941718.1	5014813	5016698	-1	1885
sorted	locus_adfd3a0a	IS100kyp_IS21_unknown	False	HG941718.1	2252365	2254232	-1	1867
sorted	locus_e963d79c	ISEc9_IS1380_unknown	False	HG941718.1	4937432	4938941	1	1509
sorted	locus_d44c88dc	ISEc38_ISL3_unknown	False	HG941718.1	2244066	2245788	-1	1722
sorted	locus_19f1374b	ISEc20_IS110_unknown	False	HG941718.1	2248880	2250339	1	1459
sorted	locus_3215dfc5	IS1397_IS3_IS150	False	HG941718.1	2135365	2136797	-1	1432
sorted	locus_aee26b3a	IS1397_IS3_IS150	False	HG941718.1	1997567	1998999	-1	1432
sorted	locus_a686f2d8	IS609_IS200/IS605_IS605	False	HG941718.1	3820313	3821771	-1	1458
sorted	locus_9fe0e5c0	ISEc22_IS66_unknown	False	HG941718.1	3336575	3338118	1	1543
sorted	locus_cd9dc9c0	ISEc52_IS3_IS3	False	HG941718.1	5007344	5008594	-1	1250
sorted	locus_434e488e	ISEc52_IS3_IS3	False	HG941718.1	3558365	3559615	1	1250
sorted	locus_02dc3e77	ISSd1_IS3_IS3	False	HG941718.1	4942385	4943650	-1	1265
sorted	locus_bd008e4e	ISEc24_IS3_IS51	False	HG941718.1	1372287	1373517	-1	1230
sorted	locus_4c13ab60	IS30_IS30_unknown	False	HG941718.1	3313143	3314364	1	1221
sorted	locus_3fd4dc1b	IS5_IS5_IS5	False	HG941718.1	4938940	4940135	-1	1195
sorted	locus_cb851f51	IS2_IS3_IS2	False	HG941718.1	3323689	3325020	-1	1331
